Study ID,Title,Author,Checked & passed inclusion criteria?,Extracted?,Extraction by:,Checked?,Check by:,Original Language of article,Country of the Study,Year of publication,Year(s) of data collection,Income level of study setting,Region of study setting,Study Design,Number of infants with MMC-associated HC,Mean,Median,Standard deviation,Range,Female,Male,Comments
,,,"If doesn't pass, leave unchecked & send message in group chat",,Tables 1-4,,Tables 1-4,,"Select the country where the management was done, not the country where the first author is located.
If management was done in multiple countries, please enter the data for each country as separate rows.
",Only year,"Only year or year
range, if present",,,,This is NOT necessarily the same as sample size of the study,Convert to days,Convert to days,Convert to days,"Convert to days

How to deal with population aged >2 y.o. when not differentiated from the rest?
If there is at least 1 subgroup whose age is within our range, extract data for that/those subgroup(s).
Do not extract data for any subgroups outside our range.",Number of female participants with MMC-associated HC,Number of male participants with MMC-associated HC,
ID 1,[Syndromes of overdrainage of ventricular shunting in childhood hydrocephalus],"Martinez-Lage, J. F. and Perez-Espejo, M. A. and Almagro, M. J. and Ros de San Pedro, J. and Lopez, F. and Piqueras, C. and Tortosa, J.",Passed,TRUE,Alvaro,FALSE,Sett,Spanish,Bolivia,2005,1993-2002,Lower middle income,Latin America & Caribbean,Retrospective study (unspecified),39,228,,,0.7-14.43,,,
ID 2,A comparison between flow-regulated and adjustable valves used in hydrocephalus during infancy,"Henderson, D. and Budu, A. and Zaki, H. and Sinha, S. and de Lacy, P. and McMullan, J. and Ushewokunze, S.",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Safia,English,United Kingdom,2020,2011-2018,High income,Europe & Central Asia,Other (Add as comment),,,,,,,,"unclear if the intervention in MM group was done prenatally or in neonatal age;
Study design: retrospective case series;"
ID 3,"A comparison of the MOMS trial results to a contemporaneous, single-institution, postnatal closure cohort","Laskay, Nicholas M. B. and Arynchyna, Anastasia A. and McClugage, Samuel G., 3rd and Hopson, Betsy and Shannon, Chevis and Ditty, Benjamin and Wellons, John C., 3rd and Blount, Jeffrey P. and Rocque, Br and on G.",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Safia,English,United States,2017,2003-2009,High income,North America,Other (Add as comment),78,,,,,,,"No outcome of interest;
Study design: retrospective chart review;"
ID 4,A retrospective study of central nervous system shunt infections diagnosed in a university hospital during a 4-year period,"Sacar, Suzan and Turgut, Huseyin and Toprak, Semra and Yilmaz, Ozlem and Cirak, Bayram and Coskun, Erdal and Tekin, Koray",Passed,TRUE,Safia,TRUE,Conor,English,Turkey,2006,2000-2004,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),7,45.56,,,,3,4,Mean: Calculated manually using data in Table 2 of the study
ID 5,A retrospective study of infections after primary VP shunt placement in the newborn with myelomeningocele without prophylactic antibiotics,"Clemmensen, Dorte and Rasmussen, Mikkel M. and Mosdal, Claus",Passed,TRUE,Safia,TRUE,Conor,English,Denmark,2010,1983-2007,High income,Europe & Central Asia,Retrospective study (unspecified),59,,,,,,,"Age at diagnosis not given, but VP shunt placed within the first 2weeks after birth."
ID 6,A single-pass tunneling technique for CSF shunting procedures,"S and quist, Michael A. and Selden, Nathan R.",Passed,TRUE,Safia,TRUE,Conor,English,United States,2003,,High income,North America,Prospective study (unspecified),5,,,,,,,"Age at diagnosis not known, but age range of all the participants were from 2 days to 5 years with the MMCaH participants having the shunt procedure done within th first 30 days."
ID 7,"Air, Myodil and Conray studies in the hydrocephalus of myelomeningocele","Drummond, M. B. and Donaldson, A. A.",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Conor,,,1974,,,,,,,,,,,,No outcome of interest
ID 8,Airway obstruction due to vocal cord paralysis in infants with hydrocephalus and meningomyelocele,"Bluestone, C. D. and Delerme, A. N. and Samuelson, G. H.",Passed,TRUE,Moniba,TRUE,Safia,English,United States,1972,1966-1971,High income,North America,Retrospective study (unspecified),12,,,,,10,2,participants are infants
ID 9,Ambulation in patients with myelomeningocele: A study of 1500 patients,"Diaz Llopis, I. and Bea Munoz, M. and Martinez Agullo, E. and Lopez Martinez, A. and Garcia Aymerich, V. and Forner Valero, J. V.",Passed,TRUE,Conor,TRUE,Safia,English,Spain,1993,1986-1988,High income,Europe & Central Asia,Retrospective study (unspecified),930,,,,,,,"No age at diagnosis available, only at survey response"
